unix,date,symbol,open,high,low,close,Volume XRP,Volume USDD,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1736899200000,2025-01-15 00:00:00,XRP/USDD,2.7449,3.1702,2.7449,3.1702,14190.4395,4783.8625,929.8579,311.597,75,2.9701
1736812800000,2025-01-14 00:00:00,XRP/USDD,2.6384,2.6911,2.5816,2.5816,764.3365,294.1444,126.6786,47.1444,5,2.599
1736726400000,2025-01-13 00:00:00,XRP/USDD,2.4276,2.4276,2.4276,2.4276,249.9998,102.9823,249.9998,102.9823,1,2.4276
1736640000000,2025-01-12 00:00:00,XRP/USDD,2.542,2.5454,2.5312,2.5323,247.8143,97.7035,0,0,5,2.5364
1736553600000,2025-01-11 00:00:00,XRP/USDD,2.3966,2.5867,2.3966,2.5867,81.6725,33.7997,13.5556,5.3774,5,2.4175
1736467200000,2025-01-10 00:00:00,XRP/USDD,2.1451,2.1451,2.1451,2.1451,0,0,0,0,0,2.1451
1736380800000,2025-01-09 00:00:00,XRP/USDD,2.1451,2.1451,2.1451,2.1451,0,0,0,0,0,2.1451
1736294400000,2025-01-08 00:00:00,XRP/USDD,2.1452,2.1452,2.1451,2.1451,23.4121,10.914,0,0,2,2.1451
1736208000000,2025-01-07 00:00:00,XRP/USDD,2.2906,2.2906,2.2906,2.2906,0,0,0,0,0,2.2848
1736121600000,2025-01-06 00:00:00,XRP/USDD,2.2642,2.2906,2.2642,2.2906,234.2455,102.5238,0,0,2,2.2848
1736035200000,2025-01-05 00:00:00,XRP/USDD,2.5088,2.5088,2.3221,2.3523,39.5575,16.5945,16.0396,6.5327,5,2.3854
1735948800000,2025-01-04 00:00:00,XRP/USDD,2.4862,2.4954,2.3025,2.3025,538.1232,220.9405,408.8756,167.0204,19,2.4362
1735862400000,2025-01-03 00:00:00,XRP/USDD,2.4805,2.4805,2.304,2.4562,71.1864,29.2831,39.4713,16.0542,7,2.4324
1735776000000,2025-01-02 00:00:00,XRP/USDD,2.3896,2.4385,2.293,2.293,248.1291,103.1271,178.7361,73.3386,5,2.4075
1735689600000,2025-01-01 00:00:00,XRP/USDD,2.1039,2.2224,2.1039,2.2224,44.013,19.8435,0,0,4,2.2181
1735603200000,2024-12-31 00:00:00,XRP/USDD,2.0285,2.2518,2.0285,2.2518,4101.9119,2021.53,15.5451,7.0645,29,2.0291
1735516800000,2024-12-30 00:00:00,XRP/USDD,2.0745,2.0773,2.0017,2.0773,2138.8883,1046.8328,0,0,9,2.0432
1735430400000,2024-12-29 00:00:00,XRP/USDD,2.1766,2.1766,2.0403,2.0403,475.5896,221.7019,12.6557,5.9092,21,2.1457
1735344000000,2024-12-28 00:00:00,XRP/USDD,2.193,2.193,2.193,2.193,1.9561,0.892,0,0,1,2.193
1735257600000,2024-12-27 00:00:00,XRP/USDD,2.1307,2.1307,2.1307,2.1307,0,0,0,0,0,2.2251
1735171200000,2024-12-26 00:00:00,XRP/USDD,2.2923,2.2923,2.1307,2.1307,795.6916,357.6597,551.0658,246.9597,29,2.2251
1735084800000,2024-12-25 00:00:00,XRP/USDD,2.3037,2.3037,2.2555,2.2645,38.9356,17.1072,0,0,3,2.2761
1734998400000,2024-12-24 00:00:00,XRP/USDD,2.2529,2.3427,2.2158,2.2651,188.3767,82.3574,106.9652,46.4447,10,2.2875
1734912000000,2024-12-23 00:00:00,XRP/USDD,2.199,2.2753,2.1632,2.2183,217.0738,99.0137,29.3075,12.9015,12,2.1928
1734825600000,2024-12-22 00:00:00,XRP/USDD,2.2591,2.261,2.1652,2.2072,292.9255,131.9999,7.0225,3.1076,14,2.2194
1734739200000,2024-12-21 00:00:00,XRP/USDD,2.3427,2.3427,2.2036,2.2104,1264.8918,548.1548,1047.8865,451.511,37,2.3081
1734652800000,2024-12-20 00:00:00,XRP/USDD,2.2947,2.3427,2.0002,2.2494,427.7379,196.5543,259.4701,119.7744,28,2.1792
1734566400000,2024-12-19 00:00:00,XRP/USDD,2.2528,2.3896,2.1899,2.2084,1545.4106,686.1054,1276.7479,566.0364,36,2.2526
1734480000000,2024-12-18 00:00:00,XRP/USDD,2.4895,2.5715,2.2527,2.2977,1308.6221,557.8552,344.383,141.1587,25,2.3477
1734393600000,2024-12-17 00:00:00,XRP/USDD,2.5866,2.6911,2.5313,2.5313,390.6794,149.8067,283.0341,108.091,13,2.6085
