unix,date,symbol,open,high,low,close,Volume XMR,Volume BTC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1740787200000,2025-03-01 00:00:00,XMR/BTC,0.00259,0.00275,0.002548,0.002594,4.906311,1850.52,3.380018,1268.46,1501,0.002652
1740700800000,2025-02-28 00:00:00,XMR/BTC,0.002476,0.002688,0.002465,0.00259,5.641538,2187.49,3.145638,1213,2060,0.00258
1740614400000,2025-02-27 00:00:00,XMR/BTC,0.002548,0.002643,0.002458,0.002467,2.814783,1115.19,0.923161,361.53,938,0.002524
1740528000000,2025-02-26 00:00:00,XMR/BTC,0.002458,0.002782,0.002436,0.002551,6.506013,2513.05,4.260275,1631.88,1761,0.00259
1740441600000,2025-02-25 00:00:00,XMR/BTC,0.002484,0.002554,0.002449,0.002462,2.04115,825.85,0.185102,73.17,1446,0.002471
1740355200000,2025-02-24 00:00:00,XMR/BTC,0.002464,0.00265,0.002449,0.002485,2.278118,901.36,1.159868,453.95,1004,0.002528
1740268800000,2025-02-23 00:00:00,XMR/BTC,0.002434,0.002506,0.002414,0.002471,0.894544,361.48,0.73278,295.65,363,0.002474
1740182400000,2025-02-22 00:00:00,XMR/BTC,0.002409,0.00245,0.0024,0.0024,0.152995,63.38,0.048306,19.84,192,0.002414
1740096000000,2025-02-21 00:00:00,XMR/BTC,0.002346,0.002446,0.002336,0.002431,2.543386,1061.2,1.105656,459.5,978,0.002396
1740009600000,2025-02-20 00:00:00,XMR/BTC,0.002497,0.00251,0.002336,0.002345,1.35363,562.4,0.335739,138.22,945,0.002407
1739923200000,2025-02-19 00:00:00,XMR/BTC,0.002479,0.002554,0.002449,0.002492,1.100852,440.26,0.585111,233.46,784,0.0025
1739836800000,2025-02-18 00:00:00,XMR/BTC,0.002485,0.0025,0.002415,0.002493,2.094342,845.87,0.830359,333.62,1451,0.002476
1739750400000,2025-02-17 00:00:00,XMR/BTC,0.002394,0.002485,0.002391,0.002485,1.281913,521.1,0.227517,92.27,908,0.00246
1739664000000,2025-02-16 00:00:00,XMR/BTC,0.002367,0.002489,0.00234,0.002397,2.487498,1028.44,0.797631,324.77,1786,0.002419
1739577600000,2025-02-15 00:00:00,XMR/BTC,0.002356,0.002497,0.002354,0.002367,1.856892,763.58,1.043907,424.84,925,0.002432
1739491200000,2025-02-14 00:00:00,XMR/BTC,0.002331,0.002395,0.002331,0.002343,0.481256,203.78,0.147058,61.79,287,0.002361
1739404800000,2025-02-13 00:00:00,XMR/BTC,0.002328,0.002553,0.002313,0.002314,2.059303,861.26,0.835874,344.12,857,0.002392
1739318400000,2025-02-12 00:00:00,XMR/BTC,0.002347,0.002628,0.002293,0.002325,4.727378,1940.47,2.788492,1129.07,1765,0.002438
1739232000000,2025-02-11 00:00:00,XMR/BTC,0.002285,0.002506,0.002245,0.002318,2.800219,1177.39,1.725682,716.45,1113,0.00238
1739145600000,2025-02-10 00:00:00,XMR/BTC,0.002299,0.00245,0.002249,0.002301,2.085113,898.61,0.912394,390.11,1028,0.00232
1739059200000,2025-02-09 00:00:00,XMR/BTC,0.002225,0.002361,0.002218,0.002281,1.971908,864.16,1.21393,528.37,847,0.002282
1738972800000,2025-02-08 00:00:00,XMR/BTC,0.002138,0.00235,0.002136,0.002225,2.767376,1219.13,1.89888,833.3,1723,0.002271
1738886400000,2025-02-07 00:00:00,XMR/BTC,0.002308,0.002341,0.002045,0.002125,5.103522,2316.93,2.613322,1177.46,2016,0.002204
1738800000000,2025-02-06 00:00:00,XMR/BTC,0.002352,0.002435,0.002263,0.002307,1.729325,736.15,0.740874,314.87,1115,0.002349
1738713600000,2025-02-05 00:00:00,XMR/BTC,0.002256,0.002704,0.002228,0.002348,5.268731,2185.72,3.104938,1282.98,2043,0.002415
1738627200000,2025-02-04 00:00:00,XMR/BTC,0.002256,0.002388,0.002233,0.002257,1.632533,709.05,0.837735,361.23,817,0.002302
1738540800000,2025-02-03 00:00:00,XMR/BTC,0.002245,0.002322,0.002095,0.002228,1.850151,840.01,0.950754,426.92,1538,0.002203
1738454400000,2025-02-02 00:00:00,XMR/BTC,0.002345,0.002354,0.002228,0.002265,0.835522,365.96,0.483458,211.25,581,0.002283
1738368000000,2025-02-01 00:00:00,XMR/BTC,0.002313,0.002365,0.002104,0.002324,1.075803,469.63,0.589871,254.7,331,0.002292
1738281600000,2025-01-31 00:00:00,XMR/BTC,0.002223,0.002345,0.002125,0.002328,1.401463,615.6,0.481902,210.64,388,0.002277
1738195200000,2025-01-30 00:00:00,XMR/BTC,0.002133,0.002287,0.002125,0.002245,1.063268,482.6,0.712741,321.81,579,0.002203
1738108800000,2025-01-29 00:00:00,XMR/BTC,0.002148,0.00221,0.00209,0.002132,0.434474,201.84,0.161509,75.03,399,0.002152
1738022400000,2025-01-28 00:00:00,XMR/BTC,0.002089,0.0022,0.002076,0.002172,0.323395,149.59,0.245556,113.04,374,0.002162
1737936000000,2025-01-27 00:00:00,XMR/BTC,0.002138,0.002218,0.002085,0.002108,0.348591,161.51,0.178074,81.67,539,0.002158
1737849600000,2025-01-26 00:00:00,XMR/BTC,0.002125,0.002148,0.002101,0.002132,0.198333,93.46,0.125166,58.7,254,0.002122
1737763200000,2025-01-25 00:00:00,XMR/BTC,0.002109,0.002128,0.002067,0.00211,0.228959,109.34,0.134284,63.78,252,0.002094
1737676800000,2025-01-24 00:00:00,XMR/BTC,0.002101,0.002108,0.002045,0.002102,0.236009,113.33,0.083343,39.94,382,0.002082
1737590400000,2025-01-23 00:00:00,XMR/BTC,0.002144,0.002217,0.002042,0.002128,1.860393,862.99,1.160261,533.66,965,0.002156
1737504000000,2025-01-22 00:00:00,XMR/BTC,0.002044,0.002148,0.002022,0.002148,0.600013,289.66,0.321262,153.57,1065,0.002071
1737417600000,2025-01-21 00:00:00,XMR/BTC,0.002023,0.0021,0.001969,0.002035,1.86989,918.07,0.257133,125.9,2278,0.002037
1737331200000,2025-01-20 00:00:00,XMR/BTC,0.002052,0.002068,0.001915,0.00204,1.171545,589.16,0.33802,169.17,963,0.001989
1737244800000,2025-01-19 00:00:00,XMR/BTC,0.002087,0.002128,0.002004,0.002026,1.879717,921.95,0.31746,153.69,1462,0.002039
1737158400000,2025-01-18 00:00:00,XMR/BTC,0.002213,0.002218,0.002041,0.002081,0.506274,240.47,0.199254,94.78,492,0.002106
1737072000000,2025-01-17 00:00:00,XMR/BTC,0.002211,0.002234,0.002126,0.002229,0.447688,204.33,0.203205,92.36,362,0.002191
1736985600000,2025-01-16 00:00:00,XMR/BTC,0.00208,0.00221,0.002042,0.00221,0.92231,432.87,0.498692,231.65,439,0.002131
1736899200000,2025-01-15 00:00:00,XMR/BTC,0.00212,0.002142,0.002063,0.002063,0.362104,171.79,0.131455,62,301,0.002107
1736812800000,2025-01-14 00:00:00,XMR/BTC,0.00214,0.002188,0.0021,0.00212,0.298143,139.24,0.101644,47.05,216,0.002141
1736726400000,2025-01-13 00:00:00,XMR/BTC,0.002128,0.002189,0.002082,0.002155,0.398368,185.82,0.226129,105.35,157,0.002144
1736640000000,2025-01-12 00:00:00,XMR/BTC,0.002098,0.0022,0.00208,0.002115,0.687774,320.43,0.386353,179.59,433,0.002146
1736553600000,2025-01-11 00:00:00,XMR/BTC,0.00209,0.002108,0.002056,0.00208,0.261264,125.16,0.134005,63.84,286,0.002087
1736467200000,2025-01-10 00:00:00,XMR/BTC,0.002056,0.002108,0.002037,0.002108,0.21599,104.17,0.098417,47.17,241,0.002073
1736380800000,2025-01-09 00:00:00,XMR/BTC,0.002089,0.002108,0.002045,0.002061,0.281117,135.39,0.092109,44.01,231,0.002076
1736294400000,2025-01-08 00:00:00,XMR/BTC,0.001999,0.002119,0.001925,0.002109,0.797744,394.78,0.448676,220.32,437,0.002021
1736208000000,2025-01-07 00:00:00,XMR/BTC,0.001997,0.00204,0.001981,0.002025,0.734934,366.27,0.089319,44.25,400,0.002006
1736121600000,2025-01-06 00:00:00,XMR/BTC,0.002008,0.002069,0.001991,0.001992,1.251524,621.5,0.11392,55.82,423,0.002013
1736035200000,2025-01-05 00:00:00,XMR/BTC,0.001971,0.002036,0.00192,0.001987,1.034882,522.3,0.297089,148.96,622,0.001982
1735948800000,2025-01-04 00:00:00,XMR/BTC,0.00206,0.002061,0.001978,0.001978,1.829172,908.34,0.207512,102.19,1099,0.002013
1735862400000,2025-01-03 00:00:00,XMR/BTC,0.002035,0.002131,0.002035,0.002054,0.608215,295.8,0.269512,130.69,437,0.002056
1735776000000,2025-01-02 00:00:00,XMR/BTC,0.002051,0.002051,0.002004,0.002035,0.683599,338.62,0.082941,40.96,610,0.002018
1735689600000,2025-01-01 00:00:00,XMR/BTC,0.002075,0.00209,0.002037,0.002069,0.094905,46.01,0.028486,13.68,93,0.002062
1735603200000,2024-12-31 00:00:00,XMR/BTC,0.002032,0.002088,0.002008,0.002066,0.260242,127.69,0.125084,60.61,153,0.002038
1735516800000,2024-12-30 00:00:00,XMR/BTC,0.002075,0.002102,0.001998,0.002057,0.32844,160.3,0.069208,33.84,381,0.002049
