unix,date,symbol,open,high,low,close,Volume CORN,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1681516800000,2023-04-15 00:00:00,CORN/USDT,9.73,9.73,9.73,9.73,0.09,0.010277,0,0,1,9.73
1681430400000,2023-04-14 00:00:00,CORN/USDT,9.73,9.73,9.73,9.73,13.23,1.359957,0,0,1,9.73
1681344000000,2023-04-13 00:00:00,CORN/USDT,9.73,9.73,9.73,9.73,4.92,0.506433,4.92,0.506433,1,9.73
1681257600000,2023-04-12 00:00:00,CORN/USDT,8.32,8.32,8.32,8.32,0,0,0,0,0,8.32
1681171200000,2023-04-11 00:00:00,CORN/USDT,8.32,8.32,8.32,8.32,0,0,0,0,0,8.32
1681084800000,2023-04-10 00:00:00,CORN/USDT,8.33,9.96,8.32,8.32,87.24,10.476008,63.3,7.599118,5,8.32
1680998400000,2023-04-09 00:00:00,CORN/USDT,8.32,8.32,8.32,8.32,0,0,0,0,0,8.32
1680912000000,2023-04-08 00:00:00,CORN/USDT,8.32,8.32,8.32,8.32,0,0,0,0,0,8.32
1680825600000,2023-04-07 00:00:00,CORN/USDT,8.32,8.32,8.32,8.32,0,0,0,0,0,8.32
1680739200000,2023-04-06 00:00:00,CORN/USDT,8.32,8.32,8.32,8.32,0,0,0,0,0,8.32
1680652800000,2023-04-05 00:00:00,CORN/USDT,8.32,8.32,8.32,8.32,0,0,0,0,0,8.32
1680566400000,2023-04-04 00:00:00,CORN/USDT,8.32,8.32,8.32,8.32,0,0,0,0,0,8.32
1680480000000,2023-04-03 00:00:00,CORN/USDT,8.32,8.32,8.32,8.32,0,0,0,0,0,8.32
1680393600000,2023-04-02 00:00:00,CORN/USDT,8.32,8.32,8.32,8.32,0,0,0,0,0,8.32
1680307200000,2023-04-01 00:00:00,CORN/USDT,8.32,8.32,8.32,8.32,0,0,0,0,0,8.32
1680220800000,2023-03-31 00:00:00,CORN/USDT,8.32,8.32,8.32,8.32,0,0,0,0,0,8.32
1680134400000,2023-03-30 00:00:00,CORN/USDT,8.32,8.32,8.32,8.32,0,0,0,0,0,8.32
1680048000000,2023-03-29 00:00:00,CORN/USDT,8.32,8.32,8.32,8.32,0,0,0,0,0,8.32
1679961600000,2023-03-28 00:00:00,CORN/USDT,8.32,8.32,8.32,8.32,0,0,0,0,0,8.32
1679875200000,2023-03-27 00:00:00,CORN/USDT,8.32,8.32,8.32,8.32,0,0,0,0,0,8.32
1679788800000,2023-03-26 00:00:00,CORN/USDT,8.32,8.32,8.32,8.32,0,0,0,0,0,8.32
1679702400000,2023-03-25 00:00:00,CORN/USDT,8.32,8.32,8.32,8.32,0.06,0.008366,0,0,1,8.32
1679616000000,2023-03-24 00:00:00,CORN/USDT,9.54,10.26,9.54,10.26,67.81,6.668085,67.81,6.668085,4,10.17
1679529600000,2023-03-23 00:00:00,CORN/USDT,9.98,9.98,9.98,9.98,0,0,0,0,0,9.98
1679443200000,2023-03-22 00:00:00,CORN/USDT,9.98,9.98,9.98,9.98,0,0,0,0,0,9.98
1679356800000,2023-03-21 00:00:00,CORN/USDT,9.98,9.98,9.98,9.98,1.04,0.104639,1.04,0.104639,1,9.98
1679270400000,2023-03-20 00:00:00,CORN/USDT,8.34,8.34,8.33,8.33,17.03,2.043046,0,0,2,8.33
1679184000000,2023-03-19 00:00:00,CORN/USDT,8.35,8.35,8.35,8.35,0,0,0,0,0,8.35
1679097600000,2023-03-18 00:00:00,CORN/USDT,8.35,8.35,8.35,8.35,0,0,0,0,0,8.35
1679011200000,2023-03-17 00:00:00,CORN/USDT,8.35,8.35,8.35,8.35,0,0,0,0,0,8.35
1678924800000,2023-03-16 00:00:00,CORN/USDT,8.35,8.35,8.35,8.35,0,0,0,0,0,8.35
1678838400000,2023-03-15 00:00:00,CORN/USDT,8.35,8.35,8.35,8.35,6.35,0.760725,0,0,2,8.35
1678752000000,2023-03-14 00:00:00,CORN/USDT,9.31,9.31,9.31,9.31,1.27,0.137172,1.27,0.137172,1,9.31
1678665600000,2023-03-13 00:00:00,CORN/USDT,9.08,9.99,9.08,9.99,251.46,25.82921,251.46,25.82921,4,9.74
1678579200000,2023-03-12 00:00:00,CORN/USDT,9.01,9.08,9.01,9.08,31.1,3.428144,27.8,3.061923,2,9.07
1678492800000,2023-03-11 00:00:00,CORN/USDT,9.07,9.08,9.07,9.08,54.53,6.006499,54.53,6.006499,2,9.07
1678406400000,2023-03-10 00:00:00,CORN/USDT,9.02,9.02,9.01,9.01,25.56,2.836526,0,0,5,9.01
1678320000000,2023-03-09 00:00:00,CORN/USDT,9.99,9.99,9.99,9.99,2.39,0.24,2.39,0.24,1,9.99
